slovo, a, b, c, d, e, f
C, 5.86, 11.59, 75.54, 50.87, 11.72, 5.578
B, 5.54, 56.06, 36.59, 76.01, 11.08, 32.45
C, 70.21, 69.1, 47.9, 79.92, 140.42, 7.589
C, 87.02, 56.71, 54.21, 6.22, 174.04, 6.21
B, 25.19, 41.91, 31.14, 100.81, 50.38, 8.81
A, 63.27, 14.55, 73.99, 94.27, 126.54, 63.27
C, 29.43, 95.77, 40.07, 5.52, 58.86, 19.842
B, 46.99, 22.03, 14.69, 15.33, 93.98, 6.102
C, 5.64, 25.58, 54.83, 24.35, 11.28, 8.419
C, 75.99, 45.76, 62.99, 97.55, 151.98, 5.755
C, 33.67, 72.88, 98.27, 85.79, 67.34, 7.951
A, 94.28, 72.36, 53.71, 9.01, 188.56, 94.28
B, 74.66, 2.53, 32.15, 11.8, 149.32, 5.068
C, 7.16, 9.36, 90.84, 15.01, 14.32, 5.335
A, 22.58, 5.47, 21.56, 54.87, 45.16, 22.58
A, 27.74, 45.41, 6.07, 72.86, 55.48, 27.74
C, 30.16, 38.44, 32.39, 40.28, 60.32, 7.545
B, 37.31, 4.56, 21.28, 38.51, 74.62, 5.102
B, 22.12, 49.88, 93.26, 70.96, 44.24, 7.107
A, 36.64, 2.8, 44.94, 62.31, 73.28, 36.64
C, 54.56, 23.81, 73.16, 62.63, 109.12, 5.231
C, 25.77, 78.79, 76.74, 76.39, 51.54, 10.831
A, 26.99, 67.29, 25.19, 5.67, 53.98, 26.99
A, 49.62, 13.17, 4.58, 49.63, 99.24, 49.62
A, 50.23, 28.93, 55.18, 7.41, 100.46, 50.23
C, 59.87, 32.99, 22.3, 76.43, 119.74, 6.344
A, 78.79, 71.37, 19.35, 83.42, 157.58, 78.79
C, 62.89, 100.47, 19.67, 1.35, 125.78, 20.675
B, 24.37, 61.99, 32.62, 3.97, 48.74, 13.678
B, 73.24, 72.68, 72.16, 8.12, 146.48, 6.836
C, 33.61, 99.98, 19.18, 28.77, 67.22, 34.767
B, 39.61, 99.92, 80.39, 3.44, 79.22, 11.02
B, 11.62, 52.67, 43.23, 51.09, 23.24, 14.697
A, 50.21, 29.83, 87.44, 91.59, 100.42, 50.21
A, 49.23, 12.59, 61.05, 69.5, 98.46, 49.23
A, 99.3, 75.24, 39.01, 52.41, 198.6, 99.3
C, 63.86, 10.39, 29.14, 64.32, 127.72, 5.099
A, 89.83, 15.04, 50.7, 36.12, 179.66, 89.83
A, 90.25, 13.7, 40.77, 59.98, 180.5, 90.25
B, 27.11, 70.3, 11.64, 23.66, 54.22, 33.605
B, 78.25, 71.21, 15.2, 93.77, 156.5, 12.802
A, 52.03, 23.06, 11.57, 47.1, 104.06, 52.03
C, 85.06, 53.0, 35.44, 54.12, 170.12, 6.638
C, 77.94, 22.29, 2.29, 39.08, 155.88, 9.346
C, 17.6, 69.24, 33.93, 16.64, 35.2, 19.637
C, 35.45, 20.81, 12.98, 95.84, 70.9, 6.464
B, 55.14, 65.49, 39.54, 99.54, 110.28, 8.559
B, 17.49, 51.79, 1.91, 17.34, 34.98, 145.43
C, 44.48, 5.39, 4.39, 75.63, 88.96, 5.273
A, 52.55, 97.83, 57.52, 84.74, 105.1, 52.55
B, 29.31, 47.12, 37.29, 32.07, 58.62, 8.513
A, 27.73, 67.45, 16.71, 1.48, 55.46, 27.73
A, 66.98, 49.25, 29.72, 17.91, 133.96, 66.98
C, 62.8, 80.81, 44.65, 6.65, 125.6, 9.34
B, 87.89, 91.09, 78.9, 61.44, 175.78, 7.268
A, 35.07, 26.94, 67.62, 65.96, 70.14, 35.07
B, 2.59, 9.24, 36.41, 35.83, 5.18, 6.661
B, 80.65, 95.53, 20.45, 80.05, 161.3, 15.554
B, 97.38, 15.94, 45.25, 38.73, 194.76, 5.093
C, 17.27, 52.67, 15.42, 50.67, 34.54, 23.273
C, 99.9, 100.37, 25.65, 11.18, 199.8, 12.552
B, 60.39, 80.63, 45.46, 41.43, 120.78, 9.411
A, 53.04, 42.75, 87.07, 74.59, 106.08, 53.04
A, 73.21, 15.01, 39.79, 93.99, 146.42, 73.21
B, 43.41, 50.04, 84.08, 90.88, 86.82, 6.199
B, 100.58, 9.07, 65.34, 40.36, 201.16, 5.03
A, 91.16, 86.12, 86.17, 51.8, 182.32, 91.16
C, 76.46, 38.17, 48.22, 21.99, 152.92, 5.666
B, 94.37, 100.18, 41.57, 47.5, 188.74, 9.913
C, 22.25, 95.17, 25.0, 3.35, 44.5, 36.042
B, 82.58, 4.22, 28.6, 41.09, 165.16, 5.046
A, 96.03, 35.13, 99.07, 37.48, 192.06, 96.03
B, 16.62, 99.04, 15.79, 100.39, 33.24, 76.654
C, 21.69, 18.19, 62.08, 71.86, 43.38, 5.397
A, 37.81, 14.97, 61.46, 75.5, 75.62, 37.81
C, 4.36, 37.62, 80.74, 53.14, 8.72, 11.781
A, 73.84, 28.74, 2.75, 70.41, 147.68, 73.84
B, 36.22, 99.79, 46.0, 47.02, 72.44, 16.472
B, 5.3, 17.06, 82.73, 5.96, 10.6, 6.103
C, 80.65, 8.36, 50.56, 33.73, 161.3, 5.04
C, 41.83, 21.27, 30.38, 13.11, 83.66, 5.562
A, 21.38, 13.21, 28.64, 65.13, 42.76, 21.38
A, 54.54, 27.83, 48.69, 54.66, 109.08, 54.54
A, 49.99, 57.16, 2.89, 45.22, 99.98, 49.99
B, 97.91, 50.22, 21.73, 15.76, 195.82, 7.067
C, 46.2, 94.75, 77.74, 7.82, 92.4, 9.764
A, 74.33, 74.91, 97.09, 37.07, 148.66, 74.33
C, 71.06, 1.54, 87.68, 92.36, 142.12, 5.099
A, 42.26, 32.01, 6.47, 81.89, 84.52, 42.26
B, 73.68, 48.57, 6.73, 74.84, 147.36, 13.25
A, 68.61, 46.56, 35.83, 61.05, 137.22, 68.61
C, 90.2, 51.51, 63.69, 11.26, 180.4, 5.809
B, 9.83, 96.58, 29.25, 39.63, 19.66, 66.975
C, 36.08, 30.87, 3.98, 65.91, 72.16, 15.802
B, 82.0, 5.8, 18.58, 93.87, 164.0, 5.059
C, 82.43, 30.65, 65.22, 83.71, 164.86, 5.288
B, 15.27, 44.19, 39.07, 36.2, 30.54, 10.612
C, 18.64, 76.58, 71.72, 63.04, 37.28, 13.115
B, 35.16, 58.2, 57.62, 82.96, 70.32, 7.978
C, 95.26, 29.32, 72.33, 88.38, 190.52, 5.205
B, 33.27, 67.57, 68.4, 34.51, 66.54, 8.648
C, 12.22, 38.95, 47.21, 60.47, 24.44, 9.438
B, 64.72, 51.42, 30.3, 59.18, 129.44, 7.359
A, 80.96, 45.14, 79.46, 8.31, 161.92, 80.96
A, 34.93, 85.69, 71.56, 9.78, 69.86, 34.93
C, 44.16, 67.83, 2.7, 53.35, 88.32, 75.117
B, 84.89, 77.18, 19.23, 90.55, 169.78, 11.754
A, 49.27, 9.77, 83.67, 34.83, 98.54, 49.27
A, 5.93, 16.94, 27.11, 11.04, 11.86, 5.93
A, 28.45, 79.38, 93.68, 72.13, 56.9, 28.45
B, 64.82, 26.21, 1.95, 23.27, 129.64, 13.656
C, 65.53, 97.55, 18.19, 32.9, 131.06, 20.272
C, 27.52, 17.65, 63.58, 76.01, 55.04, 5.289
A, 72.13, 22.62, 69.75, 32.9, 144.26, 72.13
C, 39.48, 99.23, 85.31, 77.5, 78.96, 10.608
C, 93.57, 65.92, 55.93, 34.82, 187.14, 6.504
B, 69.73, 15.04, 56.83, 46.51, 139.46, 5.094
A, 85.05, 3.24, 59.92, 66.45, 170.1, 85.05
A, 28.35, 7.88, 41.5, 44.93, 56.7, 28.35
B, 66.31, 40.25, 62.66, 31.95, 132.62, 5.662
A, 98.89, 83.63, 58.0, 19.79, 197.78, 98.89
B, 63.29, 77.26, 83.56, 86.15, 126.58, 7.091
B, 56.8, 89.02, 95.4, 77.38, 113.6, 7.763
B, 20.66, 75.91, 96.12, 2.95, 41.32, 10.363
A, 73.62, 83.26, 47.56, 30.43, 147.24, 73.62
B, 56.75, 41.07, 28.47, 10.04, 113.5, 6.772
C, 96.38, 28.66, 90.59, 42.17, 192.76, 5.155
C, 35.54, 72.41, 74.51, 88.11, 71.08, 8.635
B, 75.0, 43.23, 74.34, 10.51, 150.0, 5.575
C, 30.25, 26.34, 39.79, 85.96, 60.5, 5.929
B, 52.63, 100.72, 6.38, 53.64, 105.26, 63.054
C, 55.26, 44.51, 5.01, 69.16, 110.52, 17.257
B, 55.91, 21.79, 16.85, 60.52, 111.82, 5.791
C, 20.99, 24.97, 100.5, 11.1, 41.98, 5.486
A, 99.35, 36.98, 90.4, 42.7, 198.7, 99.35
A, 20.93, 39.55, 90.99, 17.79, 41.86, 20.93
A, 57.42, 19.37, 86.84, 6.85, 114.84, 57.42
C, 53.19, 82.76, 36.25, 49.93, 106.38, 11.641
A, 75.91, 86.15, 8.23, 49.23, 151.82, 75.91
B, 79.63, 65.56, 70.82, 27.52, 159.26, 6.38
B, 62.98, 56.04, 84.21, 45.6, 125.96, 6.05
B, 1.91, 40.37, 81.96, 34.65, 3.82, 22.705
B, 91.11, 96.09, 63.94, 39.71, 182.22, 8.026
C, 21.92, 71.01, 87.99, 40.95, 43.84, 9.787
A, 98.74, 33.64, 2.29, 68.25, 197.48, 98.74
A, 56.36, 41.36, 53.06, 44.0, 112.72, 56.36
B, 55.27, 71.67, 69.98, 92.2, 110.54, 7.434
A, 69.24, 29.23, 53.91, 66.92, 138.48, 69.24
C, 70.24, 18.77, 6.04, 63.84, 140.48, 6.274
B, 36.29, 11.94, 34.42, 84.13, 72.58, 5.188
A, 67.37, 46.27, 81.64, 21.78, 134.74, 67.37
A, 53.93, 22.19, 29.03, 81.7, 107.86, 53.93
C, 97.82, 68.09, 53.21, 80.04, 195.64, 6.621
A, 46.76, 19.38, 91.24, 56.78, 93.52, 46.76
A, 47.73, 6.56, 76.38, 46.54, 95.46, 47.73
C, 85.33, 39.49, 58.99, 23.69, 170.66, 5.525
A, 75.47, 64.9, 80.33, 37.01, 150.94, 75.47
A, 56.15, 54.59, 53.3, 35.15, 112.3, 56.15
C, 53.21, 18.03, 3.8, 3.45, 106.42, 7.446
B, 28.59, 18.43, 88.71, 61.36, 57.18, 5.222
C, 70.87, 71.74, 79.46, 85.56, 141.74, 6.676
B, 18.72, 82.06, 47.9, 14.55, 37.44, 19.024
C, 37.78, 40.17, 1.38, 89.71, 75.56, 57.236
C, 43.25, 49.09, 51.75, 64.58, 86.5, 6.874
B, 50.48, 79.54, 12.52, 70.3, 100.96, 23.605
B, 65.15, 78.28, 16.91, 40.95, 130.3, 15.315
B, 71.8, 47.44, 38.99, 19.55, 143.6, 6.392
C, 69.21, 48.8, 72.64, 1.9, 138.42, 5.825
A, 52.57, 77.63, 83.18, 37.45, 105.14, 52.57
C, 23.74, 20.22, 40.43, 92.71, 47.48, 5.674
C, 60.52, 9.73, 37.14, 32.33, 121.04, 5.078
B, 45.55, 76.36, 100.58, 24.54, 91.1, 7.354
A, 9.08, 47.16, 7.41, 90.38, 18.16, 9.08
B, 58.04, 78.19, 93.51, 36.51, 116.08, 7.091
B, 86.14, 2.18, 17.5, 11.18, 172.28, 5.083
A, 77.06, 16.35, 77.11, 25.08, 154.12, 77.06
A, 66.54, 100.15, 27.77, 79.56, 133.08, 66.54
B, 36.89, 47.31, 42.42, 4.29, 73.78, 7.476
A, 45.65, 22.77, 55.41, 50.23, 91.3, 45.65
B, 83.56, 88.23, 48.11, 30.98, 167.12, 8.653
A, 60.16, 18.5, 47.06, 16.78, 120.32, 60.16
A, 31.23, 84.38, 29.31, 45.12, 62.46, 31.23
B, 99.59, 58.47, 63.29, 44.26, 199.18, 5.967
B, 71.33, 11.75, 14.15, 85.79, 142.66, 5.212
